19.00 -91.00 -64.00 | 25.00 -40.00 -72.00
-19.00 -95.00 -81.00 | -14.00 -43.00 -88.00
-21.00 -95.00 -80.00 | -21.00 -44.00 -87.00
-27.00 -94.00 -79.00 | -22.00 -43.00 -86.00
-30.00 -94.00 -79.00 | -26.00 -43.00 -86.00
-32.00 -94.00 -78.00 | -29.00 -42.00 -86.00
-36.00 -92.00 -78.00 | -32.00 -41.00 -84.00
-41.00 -91.00 -78.00 | -38.00 -40.00 -84.00
-43.00 -91.00 -77.00 | -41.00 -40.00 -82.00
-46.00 -91.00 -76.00 | -43.00 -39.00 -81.00
-52.00 -90.00 -74.00 | -48.00 -39.00 -79.00
-56.00 -89.00 -72.00 | -52.00 -39.00 -76.00
-58.00 -90.00 -69.00 | -57.00 -39.00 -70.00
-63.00 -89.00 -62.00 | -59.00 -39.00 -67.00
-65.00 -90.00 -56.00 | -62.00 -39.00 -60.00
-68.00 -90.00 -54.00 | -65.00 -40.00 -56.00
-69.00 -91.00 -50.00 | -65.00 -40.00 -54.00
-69.00 -90.00 -50.00 | -67.00 -40.00 -50.00
-73.00 -89.00 -43.00 | -68.00 -40.00 -45.00
-74.00 -90.00 -40.00 | -68.00 -41.00 -42.00
-75.00 -90.00 -38.00 | -72.00 -39.00 -38.00
-77.00 -90.00 -33.00 | -71.00 -40.00 -34.00
-77.00 -90.00 -28.00 | -73.00 -40.00 -27.00
-78.00 -89.00 -22.00 | -73.00 -41.00 -24.00
-79.00 -89.00 -19.00 | -72.00 -41.00 -18.00
-78.00 -88.00 -14.00 | -72.00 -41.00 -15.00
-79.00 -88.00 -9.00 | -72.00 -39.00 -10.00
-78.00 -88.00 -6.00 | -71.00 -40.00 -5.00
-77.00 -88.00 -1.00 | -70.00 -41.00 -2.00
-74.00 -89.00 3.00 | -67.00 -40.00 3.00
-74.00 -89.00 5.00 | -65.00 -41.00 6.00
-71.00 -90.00 7.00 | -66.00 -42.00 7.00
-72.00 -90.00 11.00 | -64.00 -41.00 10.00
-69.00 -89.00 12.00 | -62.00 -41.00 13.00
-69.00 -90.00 14.00 | -61.00 -42.00 15.00
